ID,serial,manufacturer,modelname,wanusername,connectiontype,updated
99,DNI000003,"DeltaNetworks,Inc.",DNICWMPClient,,,2013-05-03_08:59:19
102,0026752cf9a3,Aztech,96333AW2G,tk1008#centrex@013net,DSL,2013-04-23_16:12:46
